name,description
governance-and-representation,"Government officials responsible for policy-making, administration, and representation at various levels of government"
taxes-and-levies,"Officials handling tax collection, revenue generation, and financial regulations"
health-services,"Officials managing healthcare systems, medical facilities, and public health initiatives"
education,"Officials overseeing educational institutions, policies, and academic programs"
markets-and-small-business,"Officials regulating commerce, trade, and supporting small business development"
roads-and-infrastructure,"Officials managing transportation networks, public works, and infrastructure development"
public-safety-and-security,"Officials responsible for law enforcement, security, and public safety measures"
social-services,"Officials providing social welfare programs and community support services"
electricity-and-power,"Officials managing power generation, distribution, and energy infrastructure"
water-and-sanitation,"Officials overseeing water supply, sanitation systems, and public utilities"
jobs-and-youth-empowerment,"Officials handling employment programs and youth development initiatives"
housing-and-urban-planning,"Officials managing housing projects and urban development planning"